body,answer,offset,category
宝塚歌劇団に存在する5つの組の中で、出来たのが最も新しいのは何組でしょう？,宙組,20,エンタメ
第16回アカデミー賞で3部門を獲得した、「君の瞳に乾杯」という台詞が有名な、マイケル・カーティス監督の映画は何でしょう？,カサブランカ,14,エンタメ
「自由と正義」の象徴とされている、弁護士バッジのモチーフとなっている花は何でしょう？,ひまわり,17,社会
ロシアのチュクチ半島にある、ユーラシア大陸最東端の岬は何でしょう？,デジニョフ岬,14,社会
世界三大発明と呼ばれるのは火薬、羅針盤と何でしょう？,活版印刷,17,自然科学
三権分立の3権とは国会の持つ立法権、内閣の持つ行政権と裁判所の持つ何でしょう？,司法権,28,社会
昆虫を構成する3つの構造とは頭、胸と何でしょう？,腹,17,自然科学
世界三大穀物といえば米、小麦と何でしょう？,トウモロコシ,14,自然科学
日本国憲法の三大原理とは平和主義、国民主権と何でしょう？,基本的人権の尊重,18,社会
日本銀行の主要な3つの役割と言われるのは発券銀行、政府の銀行と何の銀行であることでしょう？,銀行の銀行,26,社会
大相撲の番付における三役といえば大関、関脇と何でしょう？,小結,20,スポーツ
大相撲の三賞とは殊勲賞、敢闘賞と何でしょう？,技能賞,13,スポーツ
日本アルプスを構成する3つの山脈とは飛騨山脈、木曽山脈と何でしょう？,赤石山脈,24,自然科学
植物を育てる際に多く与えることが望ましいとされる肥料の3要素とは窒素、リンと何でしょう？,カリウム,36,自然科学
日本三大暴れ川とは坂東太郎と呼ばれる利根川、筑紫次郎とも呼ばれる筑後川と四国三郎とも呼ばれる何でしょう？,吉野川,23,社会
乳幼児の3大アレルゲンとは鶏卵、牛乳と何でしょう？,小麦,17,生活
日本三大祭りと言われるのは東京都の神田祭、京都府の祇園祭と大阪府の何でしょう？,天神祭,22,生活
京都三大祭りと言われるのは5月に行われる葵祭、7月に行われる祇園祭と10月に行われる何でしょう？,時代祭,25,生活
経済学の三面等価の原則の三面とは生産、支出と何でしょう？,分配,20,社会
集団感染防止のために避けるべきとされる3つの密とは密閉、密集と何でしょう？,密接,30,生活
東北三大祭りとは青森ねぶた祭、秋田竿燈まつりと何でしょう？,仙台七夕祭り,16,生活
三大感染症といえばエイズ、結核と何でしょう？,マラリア,14,自然科学
日本国民の三大義務とは教育の義務、勤労の義務と何でしょう？,納税の義務,18,社会
チャイコフスキーの三大バレエ音楽といえば白鳥の湖、くるみ割り人形と何でしょう？,眠れる森の美女,26,芸術・音楽
ベートーヴェンの3大ピアノソナタといえば悲愴、月光と何でしょう？,熱情,24,芸術・音楽
世界三大珍味と言われるのはトリュフ、フォアグラと何でしょう？,キャビア,19,生活
自民党の党三役とは幹事長、総務会長と何でしょう？,政務調査会長,14,社会
労働三権とは団結権、団体交渉権と何でしょう？,団体行動権,13,社会
河川の三作用といえば運搬、侵食と何でしょう？,堆積,14,自然科学
国会議事堂にある3人の像とは伊藤博文、大隈重信と誰でしょう？,板垣退助,20,文学・歴史
日本三名泉と言われるのは兵庫県の有馬温泉、群馬県の草津温泉と岐阜県の何でしょう？,下呂温泉,22,生活
ドイツ三大作曲家と呼ばれるのはバッハ、ベートーヴェンと誰でしょう？,ブラームス,20,芸術・音楽
三国一の花嫁という時の三国とは日本、中国とどこでしょう？,インド,19,文学・歴史
人間の体になくてはならない三大栄養素といえばタンパク質、脂質と何でしょう？,炭水化物,29,自然科学
3大旨味成分といえば鰹節に含まれるイノシン酸、昆布に含まれるグルタミン酸と椎茸に含まれる何でしょう？,グアニル酸,24,生活
中央競馬クラシック三冠とは皐月賞、東京優駿と何の3つを制することでしょう？,菊花賞,18,スポーツ
日本三大松原といえば静岡県の三保の松原、福井県の気比の松原と佐賀県の何でしょう？,虹の松原,21,生活
ドイツの法学者イェリネクが提唱した概念で国家の三要素といえば領土、国民と何でしょう？,主権,34,社会
日本三大花火大会といえば秋田県の大曲の花火、茨城県の土浦全国花火競技大会と新潟県の何でしょう？,長岡まつり大花火大会,23,生活
日本三大瀑布と言われるのは栃木県の華厳の滝、和歌山県の那智の滝と茨城県の何でしょう？,袋田の滝,23,生活
世界三大瀑布といえば北米のナイアガラの滝、南米のイグアスの滝とアフリカの何でしょう？,ビクトリアの滝,22,社会
江戸の三大改革といえば享保の改革、寛政の改革と何でしょう？,天保の改革,18,文学・歴史
日本三大名園といえば茨城県の偕楽園、石川県の兼六園と岡山県の何でしょう？,後楽園,19,生活
日本三大急流といえば富士川、球磨川と何でしょう？,最上川,15,社会
3大流星群といえばしぶんぎ座流星群、ペルセウス座流星群と何でしょう？,ふたご座流星群,19,自然科学
世界三大料理と呼ばれるのはフランス料理、中華料理と何でしょう？,トルコ料理,21,生活
ギリシャの三大悲劇作家といえばアイスキュロス、ソポクレスと誰でしょう？,エウリピデス,24,文学・歴史
日本三大随筆と呼ばれるのは清少納言の枕草子、鴨長明の方丈記と吉田兼好の何でしょう？,徒然草,23,文学・歴史
世界三大映画祭といえばイタリアのベネチア国際映画祭、フランスのカンヌ国際映画祭とドイツの何でしょう？,ベルリン国際映画祭,27,エンタメ
ドイツの哲学者カントが著した三大批判書とは純粋理性批判、実践理性批判と何でしょう？,判断力批判,29,文学・歴史
日本三大夜景が見られる3つの山とは北海道の函館山、兵庫県の摩耶山と長崎県の何でしょう？,稲佐山,26,生活
日本の三大鍾乳洞と呼ばれるのは岩手県の龍泉洞、山口県の秋芳洞と高知県の何でしょう？,龍河洞,24,生活
世界三大劇場と呼ばれるのはフランス・パリのオペラ座、イタリア・ミラノのスカラ座とアルゼンチン・ブエノスアイレスの何でしょう？,コロン劇場,27,芸術・音楽
耳かきの匙の反対側に付けられた、仕上げに細かい耳垢を拭うための白いフワフワした羽毛は何でしょう？,梵天,16,生活
金魚すくいで用いられる、金魚を救うための円形の枠に和紙を貼ったものを何というでしょう？,ポイ,12,生活
スーパーなどの小売店において、決済コーナーを通過した先にある、購入者が商品を買物袋に詰めるための台を何というでしょう？,サッカー台,27,生活
回転させる部分が半円形である締め金具で、アルミサッシの窓などの室内側に取り付けられる鍵を何というでしょう？,クレセント錠,26,生活
人や物の落下を防ぎ、主に雨水だけを流す役割がある道路の側溝などの隙間にはめる金属製の格子状の蓋を何というでしょう？,グレーチング,21,生活
扇子で最も重要な部分とされる、扇子を開く際に根元で止めるために骨を止めている部分のことを何というでしょう？,要,15,生活
一般家庭ではお玉と呼ばれている、カレーやスープ料理をすくう際に使うキッチン用品を何というでしょう？,レードル,16,生活
カーテンを束ねて止めるためのバンドのことを何というでしょう？,タッセル,14,生活
赤白青の3色の縞模様が回転していることでおなじみの理容所を示す細長い円柱形の看板を和製英語で何と言うでしょう？,サインポール,17,生活
主に個人顧客を相手とする店舗や金融機関で、顧客との支払いのやり取りに使われる小さなトレイの総称を何というでしょう？,カルトン,35,生活
クイックロック社の創業者フロイド・パクストンが発明した、食パンなどの袋を止めるプラスチック製の留め具を何というでしょう？,バッグクロージャー,25,生活
その形状から「蜂の腰」とも呼ばれる、砂時計の上部と下部をつなぐくびれた部分の名前は何でしょう？,オリフィス,18,生活
ミツバチの巣で女王バチを育てるために働き蜂が作る小部屋のことを何というでしょう？,王台,18,生活
複数枚つながっている切手や印紙を切り離しやすくするための細工した部分のことを何というでしょう？,目打ち,21,生活
お茶の保温性を高める役割もある、湯のみの下に敷く受け皿を何というでしょう？,茶托,21,生活
お昼ご飯を魅力的にという意味から名付けられた、魚の形でおなじみの使い捨てのポリエチレン醤油差しを何というでしょう？,ランチャーム,22,生活
フランス語で「切り込み」という意味がある、バケットやカンパーニュなどのパンに入った切り込みを何というでしょう？,クープ,21,生活
消しゴム付き鉛筆の消しゴムを固定する金具のことを何というでしょう？,フェルール,16,生活
英語で花びらを表すペタルが由来となっている、炭酸飲料用ペットボトルの底にある5つの放射状からなる突起形状を何というでしょう？,ペタロイド,15,生活
鉄道の線路の2本のレールの下に一定間隔で敷かれている角材の名前は何でしょう？,枕木,21,社会
枕木を固定するためや列車の走行荷重を分散させることを目的に鉄道の線路に敷き詰められた砂利や砕石のことを何というでしょう？,バラスト,20,社会
フランスの眼科医の名前から名付けられた、視力検査で用いられるアルファベットのCのようなマークを何というでしょう？,ランドルト環,24,生活
視力検査で用いられる、測定中の目と反対側の目を遮るために自ら持つ道具を何というでしょう？,遮眼子,18,生活
絵を描く時、キャンバスや板などを描きやすい状態に固定しておくために用いる三脚状の構造体を何というでしょう？,イーゼル,26,生活
縁日などでよく見かけられる、息を吹くと伸びて、息を止めると巻き戻るおもちゃを何というでしょう？,吹き戻し,20,生活
裁判や議会、オークションなどで用いられる儀礼用の小型の木槌のことを何というでしょう？,ガベル,24,生活
神社や寺院の階段の柱の上に設けられている、ネギの花に似ていることからそう名付けられた飾りのことを何というでしょう？,擬宝珠,25,生活
大仏や仏像の頭髪を表す巻貝状の突起のことを何というでしょう？,螺髪,15,生活
飛距離を伸ばすために作られたゴルフボールの表面の小さな丸いくぼみのことを何というでしょう？,ディンプル,21,生活
一方に注ぎ口、もう一方に取っ手が付いた形状で、料理にかけるソースやカレーなどを入れる船型の容器を何というでしょう？,グレイビーボート,23,生活
ラテン語で「白さ」を意味する、ミカンなど柑橘類の皮の内側にある白い繊維状の組織を何というでしょう？,アルベド,15,生活
耳鼻咽喉科で用いられる、口と喉を検査する際に舌を抑えるために使用される道具を何というでしょう？,舌圧子,23,生活
がま口財布の口の部分につけられた、財布を開け閉めするための玉状の留め金を何というでしょう？,らっきょう玉,17,生活
腕時計の日時を設定するためのつまみを何というでしょう？,竜頭,13,生活
ギターやバイオリンなど弦楽器の上部側面にある、弦楽器に固定して弦を巻き取ることで調律するための部品を何というでしょう？,ペグ,23,生活
手袋をしたままでも着脱が行えるように作られた、ダッフルコートなどに見られる道具のボタンを何というでしょう？,トグル,26,生活
西部劇で見られることが多い、風に吹かれて転がる軽い球体のような乾燥地帯の植物を何というでしょう？,タンブルウィード,20,生活
新品の靴下を購入した際につま先やゴム口に一足一組で靴下をまとめるためについているクリップのことを何というでしょう？,ソッパス,20,生活
アイスクリームやマッシュポテトなどを取り分けるときに使われる、力を加えるだけで一定量一定の形で盛り付けることができる金属製の器具を何というでしょう？,ディッシャー,20,生活
弁当箱や折り詰めなどで料理と料理の間に用いられる草のような緑色の仕切りを何というでしょう？,バラン,19,生活
商店街の福引きなどに用いられることでおなじみの抽選箱を回転させ中に入れた多数の球体から一つだけを無作為に取り出すという仕組みの抽選器を何というでしょう？,新井式廻轉抽籤器,29,生活
広くガチャガチャという通称で呼ばれている硬貨を入れ回転式レバーを回すとランダムでカプセルに入ったおもちゃなどが出てくる小型自動販売機のことを何というでしょう？,カプセルトイ,20,生活
もともとは熱い飲み物を覚ますためカップから一度ここに注いで飲んでいたといわれるカップの下に置かれる受け皿のことを何というでしょう？,ソーサー,34,生活
トライアングルを響かせるために使う金属製の棒のことを何というでしょう？,ビーター,12,生活
跳び箱を跳ぶ際に使われるスプリング式の踏み切り板のことを開発者である人物の名前から何というでしょう？,ロイター板,12,生活
かつてはディスペンパックという名前であった2つの調味料を真ん中で割ることで片手で同時に出すことができるポーション容器のことを何というでしょう？,パキッテ,21,生活
耳鼻咽喉科の医師が頭につけている周囲の光を反射させて診察に使用する器具を何というでしょう？,額帯鏡,16,生活
日本語では係船柱という、船をワイヤーやロープで係留するために桟橋や埠頭などに設けた柱のことを何というでしょう？,ボラード,12,生活
冷たいものを食べると頭がキーンと痛くなる現象を何というでしょう？,アイスクリーム頭痛,15,生活
時計に目を向けた瞬間、秒針の動きが遅く見える現象を何というでしょう？,クロノスタシス,13,自然科学
救急車が目の前を通り過ぎると、その途端にサイレンの音が低くなったように聞こえる現象をこの関係式を見いだしたオーストリアの物理学者の名前から何効果と言うでしょう？,ドップラー効果,15,自然科学
過去に経験体験したことのない初体験の事柄であるにも関らず、かつて同じようなことを体験したことがあるかのような感覚に包まれることを既視感を表すフランス語から何というでしょう？,デジャブ,29,生活
